model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov10m,0,autoencoder,0.7507,0.7748,0.7619,0.7362,0.7882,160,43,50,120
yolo11m,0,autoencoder,0.7344,0.7483,0.6933,0.7889,0.8128,165,38,73,142
yolo12m,0,autoencoder,0.7859,0.8059,0.8039,0.7636,0.8079,164,39,40,126
yolov8m,1,autoencoder,0.7521,0.766,0.8324,0.6758,0.7094,144,59,29,123
yolov9m,1,autoencoder,0.7363,0.7494,0.755,0.7158,0.7438,151,52,49,131
yolov10m,1,autoencoder,0.7203,0.7182,0.7273,0.7136,0.7094,144,59,54,147
yolo11m,1,autoencoder,0.7294,0.7371,0.773,0.6875,0.7044,143,60,42,132
yolo12m,1,autoencoder,0.7535,0.7672,0.8286,0.6813,0.7143,145,58,30,124
yolov8m,5,autoencoder,0.7222,0.7317,0.7246,0.7196,0.7389,150,53,57,136
yolov9m,5,autoencoder,0.7527,0.7533,0.8161,0.698,0.6995,142,61,32,141
yolov10m,5,autoencoder,0.7105,0.7143,0.7714,0.6566,0.665,135,68,40,130
yolo11m,5,autoencoder,0.7599,0.7684,0.7947,0.7249,0.7438,151,52,39,137
yolo12m,5,autoencoder,0.7118,0.7307,0.6964,0.7314,0.7685,156,47,68,128
yolov8m,10,autoencoder,0.7341,0.7444,0.8535,0.6349,0.6601,134,69,23,120
yolov9m,10,autoencoder,0.7132,0.7212,0.75,0.6771,0.6946,141,62,47,130
yolov10m,10,autoencoder,0.6855,0.6908,0.6777,0.6939,0.7044,143,60,68,136
yolo11m,10,autoencoder,0.7165,0.73,0.7411,0.6902,0.7192,146,57,51,127
yolo12m,10,autoencoder,0.7185,0.7273,0.7692,0.6702,0.6897,140,63,42,128
yolov8m,20,autoencoder,0.7242,0.7397,0.7308,0.7167,0.7488,152,51,56,129
yolov9m,20,autoencoder,0.7143,0.7104,0.7975,0.649,0.6404,130,73,33,135
yolov10m,20,autoencoder,0.6667,0.6631,0.7321,0.6135,0.6059,123,80,45,127
yolo11m,20,autoencoder,0.6986,0.7075,0.6555,0.7526,0.7685,156,47,82,143
yolo12m,20,autoencoder,0.6732,0.6696,0.6056,0.7548,0.7488,152,51,99,157
yolov8m,30,autoencoder,0.741,0.75,0.815,0.6737,0.6946,141,62,32,128
yolov9m,30,autoencoder,0.7402,0.7584,0.8022,0.6761,0.7192,146,57,36,119
yolov10m,30,autoencoder,0.704,0.7115,0.8247,0.6082,0.6256,127,76,27,118
yolo11m,30,autoencoder,0.7264,0.7277,0.7313,0.7214,0.7241,147,56,54,145
yolo12m,30,autoencoder,0.7398,0.75,0.7956,0.6862,0.7094,144,59,37,129
yolov8m,0,dncnn,0.8086,0.8273,0.8173,0.7975,0.8374,170,33,38,130
yolov9m,0,dncnn,0.8027,0.8198,0.8218,0.7798,0.8177,166,37,36,131
yolov10m,0,dncnn,0.7507,0.7748,0.7619,0.7362,0.7882,160,43,50,120
yolo11m,0,dncnn,0.7344,0.7483,0.6933,0.7889,0.8128,165,38,73,142
yolo12m,0,dncnn,0.7859,0.8059,0.8039,0.7636,0.8079,164,39,40,126
yolov8m,1,dncnn,0.7493,0.7704,0.7723,0.7219,0.7685,156,47,46,122
yolov9m,1,dncnn,0.7964,0.8,0.8229,0.7704,0.7783,158,45,34,151
yolov10m,1,dncnn,0.756,0.7673,0.7979,0.7135,0.7389,150,53,38,132
yolo11m,1,dncnn,0.7453,0.7643,0.77,0.7168,0.7586,154,49,46,124
yolo12m,1,dncnn,0.7066,0.7196,0.6844,0.7337,0.7586,154,49,71,135
yolov8m,5,dncnn,0.7512,0.75,0.7614,0.7415,0.7389,150,53,47,152
yolov9m,5,dncnn,0.7995,0.8139,0.82,0.7759,0.8079,164,39,36,135
yolov10m,5,dncnn,0.7514,0.7649,0.8043,0.6978,0.7291,148,55,36,127
yolo11m,5,dncnn,0.7602,0.7684,0.8249,0.7,0.7192,146,57,31,133
yolo12m,5,dncnn,0.7102,0.7067,0.6901,0.7308,0.7241,147,56,66,152
yolov8m,10,dncnn,0.7564,0.7745,0.8391,0.6743,0.7192,146,57,28,118
yolov9m,10,dncnn,0.7613,0.7674,0.7269,0.8021,0.8128,165,38,62,154
yolov10m,10,dncnn,0.7216,0.7313,0.7387,0.7037,0.7241,147,56,52,133
yolo11m,10,dncnn,0.7285,0.7461,0.7869,0.6685,0.7094,144,59,39,119
yolo12m,10,dncnn,0.7625,0.7739,0.7897,0.7337,0.7586,154,49,41,135
yolov8m,20,dncnn,0.7313,0.7426,0.7463,0.7151,0.7389,150,53,51,133
yolov9m,20,dncnn,0.7625,0.7826,0.7678,0.756,0.798,162,41,49,127
yolov10m,20,dncnn,0.7247,0.7211,0.774,0.6827,0.6749,137,66,40,142
yolo11m,20,dncnn,0.748,0.7532,0.7967,0.7026,0.7143,145,58,37,137
yolo12m,20,dncnn,0.733,0.7512,0.7175,0.7529,0.7882,160,43,63,131
yolov8m,30,dncnn,0.7273,0.7395,0.745,0.7081,0.734,149,54,51,131
yolov9m,30,dncnn,0.7363,0.7469,0.7602,0.7112,0.734,149,54,47,133
yolov10m,30,dncnn,0.7255,0.7435,0.7933,0.6573,0.6995,142,61,37,117
yolo11m,30,dncnn,0.7616,0.783,0.7929,0.7246,0.7734,157,46,41,121
yolo12m,30,dncnn,0.6841,0.69,0.6549,0.7179,0.7291,148,55,78,140
yolov8m,0,cae_pso,0.7849,0.801,0.8424,0.7241,0.7635,155,48,29,126
yolov9m,0,cae_pso,0.7526,0.776,0.7304,0.784,0.8276,168,35,62,127
